date,price,market_cap,total_volume,coin_id
2025-03-09,126.92075204287423,106459383986.80884,197765405.49444732,solana
2025-03-10,133.3971498401343,116270643938.47527,105544741.36564559,solana
2025-03-11,131.85245708557048,147543640241.4942,215801228.97099662,solana
2025-03-12,142.81032369940644,152952473263.31314,78511666.58834581,solana
2025-03-13,158.88808665705483,161870662382.77426,82671935.34828448,solana
2025-03-14,139.43548530681306,138046143040.46243,236247279.9181108,solana
2025-03-15,147.26303163135123,172146612941.83884,181291001.68860084,solana
2025-03-16,141.16942701137816,117042721969.74939,212439700.39721152,solana
2025-03-17,147.9801292578227,134993441251.37697,118379287.92327324,solana
2025-03-18,159.00380191420223,149459621191.93735,181767074.9137088,solana
2025-03-19,150.66889326791838,167690007090.47583,166963528.9155475,solana
2025-03-20,133.95374260783927,160343413271.74902,168567021.62213045,solana
2025-03-21,140.69510472548183,126100549091.62279,182855842.71678987,solana
2025-03-22,141.8662717336142,163106906124.24454,163564651.16323775,solana
2025-03-23,127.69293385003837,144580209960.8919,137231226.47447988,solana
2025-03-24,147.09892322073654,130897883091.2599,109666084.98849842,solana
2025-03-25,152.63942839624454,146493101429.63837,198344639.56437635,solana
2025-03-26,158.806977507504,153069146061.67188,100729037.40057352,solana
2025-03-27,171.85282224963376,204726250867.39203,184623775.10779455,solana
2025-03-28,165.8982186824721,144722432631.11557,101999908.0768788,solana
2025-03-29,167.22992461512752,187241190597.4744,172559430.59180167,solana
2025-03-30,154.025564348982,143810140039.91812,194474088.08322522,solana
2025-03-31,148.43799330056052,162145965636.40842,99368500.00317706,solana
2025-04-01,151.90247669317742,147042266070.90192,70789794.15503548,solana
2025-04-02,136.75520526832048,141041647464.23224,83575273.73895133,solana
2025-04-03,131.5616018636166,149065176942.6102,169079454.10878462,solana
2025-04-04,124.26308549240599,139381706134.58136,212900353.12063238,solana
2025-04-05,125.34734736142417,143719416988.79605,68099427.82237639,solana
2025-04-06,129.69465355139735,106848542183.61249,192147226.62749633,solana
2025-04-07,135.4957875328558,145904603904.95206,121437356.27100939,solana
2025-04-08,143.6430135634708,122957694312.04019,146135106.58551404,solana
2025-04-09,155.49744209435522,150261443156.3644,227194718.97220182,solana
2025-04-10,161.19404846904584,164326913801.58966,119754870.85245219,solana
