date,price,market_cap,total_volume,coin_id
2025-03-09,8.869344904108043,9876734031.867937,11464754.187885148,polkadot
2025-03-10,8.598164278416403,8437419095.254542,6254754.729951478,polkadot
2025-03-11,7.260146620051353,8108683337.164167,13055439.961537104,polkadot
2025-03-12,7.804333975038897,8861421010.541773,10796289.838354206,polkadot
2025-03-13,8.13233324793516,8635808443.192411,12545233.171464318,polkadot
2025-03-14,7.35437705624767,6555473583.906482,15593514.510288728,polkadot
2025-03-15,7.110091982629357,6467373171.249597,9865540.775864588,polkadot
2025-03-16,7.724759673597418,7152636643.234021,15740014.696021283,polkadot
2025-03-17,8.341417991920652,7062859147.849412,13821029.9320911,polkadot
2025-03-18,8.77371365804014,7977620643.258052,10479712.804944307,polkadot
2025-03-19,8.69048459707661,7680717114.333088,11941082.229639037,polkadot
2025-03-20,8.731888742667794,8575862988.000928,8401159.439617397,polkadot
2025-03-21,8.670757494401524,10087342666.084892,16790865.57166937,polkadot
2025-03-22,9.210539791494718,7753359879.1518955,12758727.32889255,polkadot
2025-03-23,8.768697925967423,9541283081.117294,4809047.36933203,polkadot
2025-03-24,8.381831908613556,9009741773.545944,8414429.29828711,polkadot
2025-03-25,8.84924562225747,7418337467.139772,12197259.030427983,polkadot
2025-03-26,8.829424373502876,10321852810.080875,4968249.291940307,polkadot
2025-03-27,9.500599288025281,9760810070.049522,4554523.43931907,polkadot
2025-03-28,9.151612146128205,8652759675.735418,9987809.053979483,polkadot
2025-03-29,9.125870401627232,10062325548.02531,8491799.791081542,polkadot
2025-03-30,8.664715401102034,7823771701.331357,9838307.252422865,polkadot
2025-03-31,8.669957098834084,9341045892.991674,7599339.700970066,polkadot
2025-04-01,7.966649472072285,6499865685.994146,6350151.2735230075,polkadot
2025-04-02,7.754578552507837,8807365068.10529,13036577.801499305,polkadot
2025-04-03,7.143564580287295,6995466619.709374,10810781.732414456,polkadot
2025-04-04,7.417632991856847,7823208140.374659,6801966.193429427,polkadot
2025-04-05,7.711463338506994,6851597605.417779,8324765.184814978,polkadot
2025-04-06,6.979148462508368,7473477954.28871,11795550.822707405,polkadot
2025-04-07,7.492560557943839,8308471259.320523,5170924.190474093,polkadot
2025-04-08,8.523220944071841,8431896973.4431095,6130025.8681437895,polkadot
2025-04-09,8.546492331205231,8948953232.673431,5183881.452369224,polkadot
2025-04-10,8.24684133370748,8102772063.054307,14607045.992105016,polkadot
2025-04-11,9.529540046160832,11031743840.23643,13843217.723453118,polkadot
2025-04-12,8.840141982339153,8832607283.622292,13854739.881460529,polkadot
2025-04-13,8.851685931939354,10061919268.389254,13383148.129319359,polkadot
2025-04-14,8.940904066030285,10018648003.268309,12784664.151790833,polkadot
2025-04-15,9.604168217444759,9260357517.276497,10331646.92107173,polkadot
2025-04-16,9.796113700820134,8738464497.868607,12439046.584715715,polkadot
2025-04-17,9.529415834957838,9171422869.689682,4739109.823546676,polkadot
2025-04-18,9.032788991062162,10211450079.3004,12173671.388874004,polkadot
2025-04-19,8.86477730824505,7898986541.8560505,14167940.745595185,polkadot
2025-04-20,8.37560998858703,8457477709.567323,10629569.094900975,polkadot
2025-04-21,8.399316253020025,9427717609.077337,8808294.93744727,polkadot
2025-04-22,8.14035869838396,7663260334.444807,7787190.868712484,polkadot
2025-04-23,7.4730765750760035,7898173977.889971,12445726.13956655,polkadot
2025-04-24,7.990460222808559,7177451907.00801,13083215.282531336,polkadot
2025-04-25,7.773343527218673,6558461489.499191,15354836.898247419,polkadot
2025-04-26,7.2327267295720725,8084406991.009458,8614759.551377634,polkadot
2025-04-27,7.1672397962453385,6017524579.506071,14064596.919166215,polkadot
2025-04-28,7.195625191674014,6537603674.5337305,11407286.75841406,polkadot
2025-04-29,6.505883718527518,7430003961.2750635,15506165.256145507,polkadot
2025-04-30,6.625856258952486,6218947284.891986,10979604.380769163,polkadot
2025-05-01,6.245574076020405,7427349984.703465,10849780.312074082,polkadot
2025-05-02,6.834572835405941,8146084536.468725,11617932.78837159,polkadot
2025-05-03,7.032897295519599,6381020915.895911,13803770.77806604,polkadot
2025-05-04,6.879618819238207,5616460874.978274,16549803.605062878,polkadot
2025-05-05,6.599038881112978,7140327115.336986,5187932.766251012,polkadot
2025-05-06,5.014271066586228,4915964281.929184,4931291.180485468,polkadot
2025-05-07,5.18427235949616,4356349961.2290325,16203766.801943565,polkadot
2025-05-08,5.178039946129607,5607864524.690298,11005914.225357128,polkadot
2025-05-09,5.117230420328366,4157596013.566091,12090013.435728436,polkadot
2025-05-10,5.134682048942352,5895018969.441706,10400900.920332793,polkadot
2025-05-11,6.498007700729411,5558792241.345072,5444132.5207453,polkadot
2025-05-12,6.376648790713645,5426048287.632431,14043139.574838,polkadot
2025-05-13,5.646403999644509,4913889906.06623,13777114.22487948,polkadot
2025-05-14,5.949926123088835,7045346455.077201,8224217.349033353,polkadot
2025-05-15,6.04889646783961,6516281052.21334,8154550.376662104,polkadot
2025-05-16,5.792785759367972,6491098054.933018,14932477.60654536,polkadot
2025-05-17,6.398887389364311,6136878509.801597,5172555.036201914,polkadot
2025-05-18,6.4307916430899175,6009736145.473392,15484090.641546214,polkadot
2025-05-19,6.065600513115067,5421394935.236562,7522436.5461729085,polkadot
2025-05-20,6.3526281150978745,6303453763.327806,11810555.533882547,polkadot
2025-05-21,6.4929745167457655,6627583575.17479,16183925.782272667,polkadot
2025-05-22,6.635182990130296,6984923070.583033,12896061.894592242,polkadot
2025-05-23,6.481136877701795,5851477589.443619,9533980.108954716,polkadot
2025-05-24,6.643017949751698,7835184794.818865,13041561.163544042,polkadot
2025-05-25,6.548708977217721,5683646782.2414055,8635740.36303372,polkadot
2025-05-26,6.750257151649198,8007568620.911248,7785044.808452124,polkadot
2025-05-27,6.04436963224964,4871414064.094646,16957711.793667164,polkadot
2025-05-28,5.901341469063218,5856787974.0307665,13822575.447542293,polkadot
2025-05-29,6.461488128574007,6030811434.234626,12470179.711618176,polkadot
2025-05-30,6.190178577071073,6064204515.805684,8779942.951046316,polkadot
2025-05-31,5.985833933662831,6155028507.571313,4876800.571726863,polkadot
2025-06-01,5.8395528805131045,5689100673.367841,4645975.169448235,polkadot
